username,contributions
mbostock,2394
jasondavies,776
kitmonisit,50
DanGoldbach,27
larskotthoff,11
natevw,11
yasirs,11
square-build-bot,9
funkhousr,9
jheer,8
leodutra,8
scottcheng,8
mrcarlosrendon,7
NelsonMinar,7
webmonarch,7
hlvoorhees,6
trevnorris,6
dandv,5
maoe,5
pjjw,5
jfirebaugh,4
mrblueblue,4
splendido,4
snoble,4
iterion,3
zenmoto,3
trinary,3
GerHobbelt,3
jisaacks,3
dwt,3
