country,number
Anonymous Proxy,13
Malaysia,9
Kazakhstan,1
Paraguay,1
Portugal,11
Iceland,5
Bahamas,2
Greece,3
Cayman Islands,1
Austria,75
Latvia,3
Panama,10
Luxembourg,17
Brazil,43
Korea, Republic of,11
Guatemala,1
Virgin Islands, British,22
Slovenia,14
Jersey,4
Chile,7
Iran, Islamic Republic of,4
Colombia,2
Argentina,28
Hungary,21
Europe,257
Japan,106
Isle of Man,1
Ukraine,12
Seychelles,12
India,49
New Zealand,22
Canada,532
Turkey,63
Belgium,49
Taiwan,25
Finland,18
Italy,121
Trinidad and Tobago,1
South Africa,42
Peru,1
Germany,803
Russian Federation,58
Puerto Rico,4
Singapore,21
Hong Kong,24
United States,28139
Macau,1
Thailand,56
Costa Rica,278
Malta,1
Saudi Arabia,1
Netherlands,360
Vietnam,33
Sweden,73
Pakistan,1
Ireland,109
China,33
Qatar,1
Poland,64
Slovakia,10
France,412
Serbia,2
Bulgaria,4
Jordan,1
Lithuania,1
Bosnia and Herzegovina,6
Croatia,4
Romania,33
Uruguay,1
Philippines,2
Holy See (Vatican City State),6
United Kingdom,1311
Switzerland,133
Spain,160
Lebanon,1
Venezuela,4
Azerbaijan,1
Czech Republic,39
Bangladesh,1
Barbados,2
Nicaragua,1
Norway,56
Denmark,54
Mexico,6
Israel,6
Australia,141
Indonesia,39
Estonia,10
