country,number
Anonymous Proxy,15
Kazakhstan,2
Paraguay,1
Portugal,39
Bahamas,5
Greece,16
Cayman Islands,1
Latvia,12
Morocco,3
Panama,12
Virgin Islands, British,68
Chile,13
Iran, Islamic Republic of,17
Argentina,88
Isle of Man,1
Ukraine,39
Asia/Pacific Region,17
Seychelles,13
Bahrain,1
India,70
Canada,1218
Turkey,152
Belgium,82
Finland,34
Taiwan,53
Trinidad and Tobago,4
South Africa,97
Georgia,4
Jamaica,2
Saint Kitts and Nevis,1
Peru,3
Germany,1683
Puerto Rico,3
Hong Kong,60
United States,48033
Thailand,90
Costa Rica,413
Sweden,184
Vietnam,100
Liechtenstein,1
Poland,162
Bulgaria,31
Jordan,1
Kuwait,1
Croatia,12
Syrian Arab Republic,1
Sri Lanka,1
Uruguay,1
United Kingdom,2301
United Arab Emirates,3
Switzerland,202
Spain,371
Lebanon,1
Cuba,2
Venezuela,3
Azerbaijan,3
Czech Republic,97
Israel,43
San Marino,1
Australia,242
Estonia,22
Gibraltar,1
Cyprus,6
Malaysia,28
Iceland,11
Armenia,1
Austria,141
Monaco,1
Luxembourg,15
Brazil,129
Korea, Republic of,31
Slovenia,30
Jersey,7
Colombia,6
Hungary,53
Japan,160
Europe,360
Curacao,1
Mauritius,3
Lao People's Democratic Republic,1
New Zealand,47
Moldova, Republic of,1
Italy,254
Macedonia,1
Russian Federation,134
Afghanistan,2
Singapore,49
Egypt,4
Saudi Arabia,9
Netherlands,719
Pakistan,1
China,49
Qatar,1
Ireland,223
Slovakia,31
France,793
Serbia,6
Lithuania,14
Bosnia and Herzegovina,9
Romania,66
Philippines,5
Holy See (Vatican City State),4
Bangladesh,2
Barbados,1
Norway,104
Botswana,3
Denmark,95
Mexico,18
Zimbabwe,1
Indonesia,64
