technologies,number,DATE
42014,132280,4/1/14
72014,203547,7/1/14
82014,162346,8/1/14
92014,173855,9/1/14
102014,201135,10/1/14
112014,109100,11/1/14
122014,114835,12/1/14
12015,97865,1/1/15
22015,102755,2/1/15
32015,89636,3/1/15
42015,113604,4/1/15
52015,114710,5/1/15
62015,93500,6/1/15
72015,96059,7/1/15
82015,106908,8/1/15
92015,81004,9/1/15
112015,98284,11/1/15
22016,93082,2/1/16
