country,number
Cyprus,3
Anonymous Proxy,15
Malaysia,15
Paraguay,1
Portugal,13
Iceland,2
Bahamas,5
Greece,9
Cayman Islands,2
Austria,87
Latvia,16
Morocco,1
Panama,8
Luxembourg,17
Brazil,61
Korea, Republic of,22
Guatemala,1
Virgin Islands, British,41
Slovenia,19
Jersey,4
Chile,15
Iran, Islamic Republic of,9
Argentina,58
Hungary,30
Japan,145
Europe,224
Ukraine,15
Seychelles,9
Belarus,1
India,55
New Zealand,26
Canada,864
Turkey,83
Belgium,61
Moldova, Republic of,1
Finland,21
Taiwan,31
Faroe Islands,1
Italy,183
South Africa,59
Honduras,1
Macedonia,1
Georgia,2
Peru,1
Germany,1213
Ethiopia,1
Russian Federation,70
Puerto Rico,3
Afghanistan,1
Singapore,30
Hong Kong,43
United States,38615
Egypt,1
Thailand,45
Costa Rica,303
Saudi Arabia,3
Netherlands,559
Sweden,115
Vietnam,49
Pakistan,1
China,31
Ireland,159
Poland,81
Martinique,1
Slovakia,16
Serbia,4
France,615
Lithuania,3
Bulgaria,14
Bosnia and Herzegovina,9
Croatia,12
Romania,28
Sri Lanka,1
Uruguay,2
Philippines,3
Holy See (Vatican City State),1
United Kingdom,1797
United Arab Emirates,3
Switzerland,127
Spain,204
Venezuela,5
Azerbaijan,2
Cuba,1
Czech Republic,57
Bangladesh,2
Barbados,2
Norway,61
Denmark,78
Mexico,13
Israel,19
Australia,195
Indonesia,46
Estonia,13
